id_SubFed;degree;year;amount
0;Два и более высших образования;2021;919
0;Кандидаты наук;2021;119
0;Доктора наук;2021;4
1;Два и более высших образования;2021;299
1;Кандидаты наук;2021;22
1;Доктора наук;2021;0
2;Два и более высших образования;2021;255
2;Кандидаты наук;2021;48
2;Доктора наук;2021;2
3;Два и более высших образования;2021;756
3;Кандидаты наук;2021;140
3;Доктора наук;2021;6
4;Два и более высших образования;2021;362
4;Кандидаты наук;2021;16
4;Доктора наук;2021;0
5;Два и более высших образования;2021;261
5;Кандидаты наук;2021;12
5;Доктора наук;2021;0
6;Два и более высших образования;2021;397
6;Кандидаты наук;2021;38
6;Доктора наук;2021;2
7;Два и более высших образования;2021;282
7;Кандидаты наук;2021;18
7;Доктора наук;2021;0
8;Два и более высших образования;2021;834
8;Кандидаты наук;2021;50
8;Доктора наук;2021;0
9;Два и более высших образования;2021;574
9;Кандидаты наук;2021;45
9;Доктора наук;2021;0
10;Два и более высших образования;2021;265
10;Кандидаты наук;2021;26
10;Доктора наук;2021;0
11;Два и более высших образования;2021;701
11;Кандидаты наук;2021;97
11;Доктора наук;2021;2
12;Два и более высших образования;2021;327
12;Кандидаты наук;2021;75
12;Доктора наук;2021;5
13;Два и более высших образования;2021;290
13;Кандидаты наук;2021;21
13;Доктора наук;2021;1
