id_SubFed;category;year;amount
0;до 30 лет;2021;864
0;от 31 до 40 лет;2021;1792
0;от 41 до 50 лет;2021;1259
0;от 51 до 60 лет;2021;674
0;старше 61 года;2021;118
0;средний возраст служащих;2021;37
1;до 30 лет;2021;85
1;от 31 до 40 лет;2021;395
1;от 41 до 50 лет;2021;401
1;от 51 до 60 лет;2021;198
1;старше 61 года;2021;37
1;средний возраст служащих;2021;43
2;до 30 лет;2021;179
2;от 31 до 40 лет;2021;406
2;от 41 до 50 лет;2021;291
2;от 51 до 60 лет;2021;191
2;старше 61 года;2021;41
2;средний возраст служащих;2021;42
3;до 30 лет;2021;888
3;от 31 до 40 лет;2021;1785
3;от 41 до 50 лет;2021;1507
3;от 51 до 60 лет;2021;963
3;старше 61 года;2021;148
3;средний возраст служащих;2021;41
4;до 30 лет;2021;322
4;от 31 до 40 лет;2021;639
4;от 41 до 50 лет;2021;514
4;от 51 до 60 лет;2021;273
4;старше 61 года;2021;36
4;средний возраст служащих;2021;41
5;до 30 лет;2021;246
5;от 31 до 40 лет;2021;439
5;от 41 до 50 лет;2021;393
5;от 51 до 60 лет;2021;148
5;старше 61 года;2021;23
5;средний возраст служащих;2021;40
6;до 30 лет;2021;584
6;от 31 до 40 лет;2021;1141
6;от 41 до 50 лет;2021;851
6;от 51 до 60 лет;2021;450
6;старше 61 года;2021;69
6;средний возраст служащих;2021;40
7;до 30 лет;2021;241
7;от 31 до 40 лет;2021;582
7;от 41 до 50 лет;2021;643
7;от 51 до 60 лет;2021;301
7;старше 61 года;2021;49
7;средний возраст служащих;2021;41
8;до 30 лет;2021;555
8;от 31 до 40 лет;2021;1297
8;от 41 до 50 лет;2021;1147
8;от 51 до 60 лет;2021;676
8;старше 61 года;2021;130
8;средний возраст служащих;2021;41
9;до 30 лет;2021;244
9;от 31 до 40 лет;2021;671
9;от 41 до 50 лет;2021;712
9;от 51 до 60 лет;2021;322
9;старше 61 года;2021;45
9;средний возраст служащих;2021;43
10;до 30 лет;2021;180
10;от 31 до 40 лет;2021;576
10;от 41 до 50 лет;2021;422
10;от 51 до 60 лет;2021;242
10;старше 61 года;2021;53
10;средний возраст служащих;2021;41
11;до 30 лет;2021;487
11;от 31 до 40 лет;2021;1275
11;от 41 до 50 лет;2021;1335
11;от 51 до 60 лет;2021;704
11;старше 61 года;2021;101
11;средний возраст служащих;2021;43
12;до 30 лет;2021;301
12;от 31 до 40 лет;2021;750
12;от 41 до 50 лет;2021;714
12;от 51 до 60 лет;2021;497
12;старше 61 года;2021;69
12;средний возраст служащих;2021;42
13;до 30 лет;2021;128
13;от 31 до 40 лет;2021;515
13;от 41 до 50 лет;2021;440
13;от 51 до 60 лет;2021;241
13;старше 61 года;2021;10
13;средний возраст служащих;2021;42
