id_SubFed;category;year;amount
0;до 30 лет;2021;904
0;от 31 до 40 лет;2021;2828
0;от 41 до 50 лет;2021;2461
0;от 51 до 60 лет;2021;1609
0;старше 61 года;2021;163
0;средний возраст служащих;2021;42
1;до 30 лет;2021;185
1;от 31 до 40 лет;2021;550
1;от 41 до 50 лет;2021;426
1;от 51 до 60 лет;2021;379
1;старше 61 года;2021;48
1;средний возраст служащих;2021;42
2;до 30 лет;2021;193
2;от 31 до 40 лет;2021;537
2;от 41 до 50 лет;2021;601
2;от 51 до 60 лет;2021;495
2;старше 61 года;2021;94
2;средний возраст служащих;2021;41
3;до 30 лет;2021;937
3;от 31 до 40 лет;2021;1975
3;от 41 до 50 лет;2021;1840
3;от 51 до 60 лет;2021;1163
3;старше 61 года;2021;132
3;средний возраст служащих;2021;41
4;до 30 лет;2021;286
4;от 31 до 40 лет;2021;1026
4;от 41 до 50 лет;2021;1081
4;от 51 до 60 лет;2021;610
4;старше 61 года;2021;70
4;средний возраст служащих;2021;41
5;до 30 лет;2021;294
5;от 31 до 40 лет;2021;741
5;от 41 до 50 лет;2021;731
5;от 51 до 60 лет;2021;462
5;старше 61 года;2021;82
5;средний возраст служащих;2021;42
6;до 30 лет;2021;827
6;от 31 до 40 лет;2021;2348
6;от 41 до 50 лет;2021;2244
6;от 51 до 60 лет;2021;1223
6;старше 61 года;2021;166
6;средний возраст служащих;2021;41
7;до 30 лет;2021;387
7;от 31 до 40 лет;2021;1179
7;от 41 до 50 лет;2021;1239
7;от 51 до 60 лет;2021;966
7;старше 61 года;2021;135
7;средний возраст служащих;2021;43
8;до 30 лет;2021;780
8;от 31 до 40 лет;2021;2268
8;от 41 до 50 лет;2021;2487
8;от 51 до 60 лет;2021;1773
8;старше 61 года;2021;321
8;средний возраст служащих;2021;44
9;до 30 лет;2021;377
9;от 31 до 40 лет;2021;1521
9;от 41 до 50 лет;2021;1573
9;от 51 до 60 лет;2021;1186
9;старше 61 года;2021;212
9;средний возраст служащих;2021;44
10;до 30 лет;2021;256
10;от 31 до 40 лет;2021;904
10;от 41 до 50 лет;2021;1022
10;от 51 до 60 лет;2021;838
10;старше 61 года;2021;195
10;средний возраст служащих;2021;46
11;до 30 лет;2021;556
11;от 31 до 40 лет;2021;1744
11;от 41 до 50 лет;2021;2099
11;от 51 до 60 лет;2021;1356
11;старше 61 года;2021;260
11;средний возраст служащих;2021;45
12;до 30 лет;2021;611
12;от 31 до 40 лет;2021;1687
12;от 41 до 50 лет;2021;1522
12;от 51 до 60 лет;2021;1012
12;старше 61 года;2021;214
12;средний возраст служащих;2021;42
13;до 30 лет;2021;195
13;от 31 до 40 лет;2021;582
13;от 41 до 50 лет;2021;578
13;от 51 до 60 лет;2021;426
13;старше 61 года;2021;69
13;средний возраст служащих;2021;43
