id_SubFed;category;year;amount
0;Уволены на отчетную дату по инициативе служащего;2021;507
0;Уволены на отчетную дату по инициативе представителя нанимателя ;2021;23
0;Уволены на отчетную дату по истечению срока срочного служебного контракта;2021;102
0;Уволены на отчетную дату по иным основаниям ;2021;33
0;Количество служащих уволенных по достижению предельного возраста пребывания на службе;2021;5
0;Количество уволенных служащих пребывавших в должности менее 1 года;2021;135
0;Количество служащих уволенных в связи с сокращением штатной численности, преобразованием государственных органов;2021;20
0;Количество служащих предупрежденных о предстоящем возможном увольнении;2021;10
1;Уволены на отчетную дату по инициативе служащего;2021;79
1;Уволены на отчетную дату по инициативе представителя нанимателя ;2021;4
1;Уволены на отчетную дату по истечению срока срочного служебного контракта;2021;7
1;Уволены на отчетную дату по иным основаниям ;2021;2
1;Количество служащих уволенных по достижению предельного возраста пребывания на службе;2021;1
1;Количество уволенных служащих пребывавших в должности менее 1 года;2021;25
1;Количество служащих уволенных в связи с сокращением штатной численности, преобразованием государственных органов;2021;2
1;Количество служащих предупрежденных о предстоящем возможном увольнении;2021;1
2;Уволены на отчетную дату по инициативе служащего;2021;87
2;Уволены на отчетную дату по инициативе представителя нанимателя ;2021;7
2;Уволены на отчетную дату по истечению срока срочного служебного контракта;2021;10
2;Уволены на отчетную дату по иным основаниям ;2021;8
2;Количество служащих уволенных по достижению предельного возраста пребывания на службе;2021;3
2;Количество уволенных служащих пребывавших в должности менее 1 года;2021;19
2;Количество служащих уволенных в связи с сокращением штатной численности, преобразованием государственных органов;2021;7
2;Количество служащих предупрежденных о предстоящем возможном увольнении;2021;14
3;Уволены на отчетную дату по инициативе служащего;2021;552
3;Уволены на отчетную дату по инициативе представителя нанимателя ;2021;8
3;Уволены на отчетную дату по истечению срока срочного служебного контракта;2021;23
3;Уволены на отчетную дату по иным основаниям ;2021;41
3;Количество служащих уволенных по достижению предельного возраста пребывания на службе;2021;34
3;Количество уволенных служащих пребывавших в должности менее 1 года;2021;251
3;Количество служащих уволенных в связи с сокращением штатной численности, преобразованием государственных органов;2021;3
3;Количество служащих предупрежденных о предстоящем возможном увольнении;2021;150
4;Уволены на отчетную дату по инициативе служащего;2021;149
4;Уволены на отчетную дату по инициативе представителя нанимателя ;2021;3
4;Уволены на отчетную дату по истечению срока срочного служебного контракта;2021;48
4;Уволены на отчетную дату по иным основаниям ;2021;60
4;Количество служащих уволенных по достижению предельного возраста пребывания на службе;2021;5
