id_SubFed;category;year;amount
0;подали документы на замещение вакантных должностей государственной службы;2021;419
0;в эл. виде подали документы на замещение вакантных должностей государственной службы;2021;6
0;подали документы на включение в кадровый резерв;2021;635
0;в эл. виде подали документы на включение в кадровый резерв;2021;9
0;количество лиц, не допущенных для участия в конкурсе;2021;64
0;количество лиц, не прошедших конкурсный отбор;2021;186
0;количество лиц, назначенных на вакантную должность по результатам конкурса;2021;75
0;количество лиц, включенных в кадровый резерв, по результатам конкурса на замещение;2021;204
0;количество лиц, включенных в кадровый резерв, по результатам конкурса на включение в кадровый резерв;2021;497
0;количество лиц, не участвовавших в конкурсе по причине признания конкурса несостоявшимся;2021;28
1;подали документы на замещение вакантных должностей государственной службы;2021;105
1;в эл. виде подали документы на замещение вакантных должностей государственной службы;2021;1
1;подали документы на включение в кадровый резерв;2021;149
1;в эл. виде подали документы на включение в кадровый резерв;2021;13
1;количество лиц, не допущенных для участия в конкурсе;2021;11
1;количество лиц, не прошедших конкурсный отбор;2021;74
1;количество лиц, назначенных на вакантную должность по результатам конкурса;2021;20
1;количество лиц, включенных в кадровый резерв, по результатам конкурса на замещение;2021;58
1;количество лиц, включенных в кадровый резерв, по результатам конкурса на включение в кадровый резерв;2021;84
1;количество лиц, не участвовавших в конкурсе по причине признания конкурса несостоявшимся;2021;7
2;подали документы на замещение вакантных должностей государственной службы;2021;95
2;в эл. виде подали документы на замещение вакантных должностей государственной службы;2021;6
2;подали документы на включение в кадровый резерв;2021;104
2;в эл. виде подали документы на включение в кадровый резерв;2021;4
2;количество лиц, не допущенных для участия в конкурсе;2021;12
2;количество лиц, не прошедших конкурсный отбор;2021;26
2;количество лиц, назначенных на вакантную должность по результатам конкурса;2021;23
2;количество лиц, включенных в кадровый резерв, по результатам конкурса на замещение;2021;43
2;количество лиц, включенных в кадровый резерв, по результатам конкурса на включение в кадровый резерв;2021;94
2;количество лиц, не участвовавших в конкурсе по причине признания конкурса несостоявшимся;2021;1
3;подали документы на замещение вакантных должностей государственной службы;2021;283
3;в эл. виде подали документы на замещение вакантных должностей государственной службы;2021;28
3;подали документы на включение в кадровый резерв;2021;436
3;в эл. виде подали документы на включение в кадровый резерв;2021;41
3;количество лиц, не допущенных для участия в конкурсе;2021;22
3;количество лиц, не прошедших конкурсный отбор;2021;343
3;количество лиц, назначенных на вакантную должность по результатам конкурса;2021;82
3;количество лиц, включенных в кадровый резерв, по результатам конкурса на замещение;2021;31
3;количество лиц, включенных в кадровый резерв, по результатам конкурса на включение в кадровый резерв;2021;225
3;количество лиц, не участвовавших в конкурсе по причине признания конкурса несостоявшимся;2021;16
4;подали документы на замещение вакантных должностей государственной службы;2021;102
4;в эл. виде подали документы на замещение вакантных должностей государственной службы;2021;3
4;подали документы на включение в кадровый резерв;2021;71
4;в эл. виде подали документы на включение в кадровый резерв;2021;1
4;количество лиц, не допущенных для участия в конкурсе;2021;3
4;количество лиц, не прошедших конкурсный отбор;2021;53
4;количество лиц, назначенных на вакантную должность по результатам конкурса;2021;21
4;количество лиц, включенных в кадровый резерв, по результатам конкурса на замещение;2021;33
4;количество лиц, включенных в кадровый резерв, по результатам конкурса на включение в кадровый резерв;2021;53
4;количество лиц, не участвовавших в конкурсе по причине признания конкурса несостоявшимся;2021;10
5;подали документы на замещение вакантных должностей государственной службы;2021;139
5;в эл. виде подали документы на замещение вакантных должностей государственной службы;2021;0
5;подали документы на включение в кадровый резерв;2021;257
5;в эл. виде подали документы на включение в кадровый резерв;2021;11
5;количество лиц, не допущенных для участия в конкурсе;2021;1
5;количество лиц, не прошедших конкурсный отбор;2021;87
5;количество лиц, назначенных на вакантную должность по результатам конкурса;2021;49
5;количество лиц, включенных в кадровый резерв, по результатам конкурса на замещение;2021;54
5;количество лиц, включенных в кадровый резерв, по результатам конкурса на включение в кадровый резерв;2021;198
5;количество лиц, не участвовавших в конкурсе по причине признания конкурса несостоявшимся;2021;7
6;подали документы на замещение вакантных должностей государственной службы;2021;8
6;в эл. виде подали документы на замещение вакантных должностей государственной службы;2021;0
6;подали документы на включение в кадровый резерв;2021;460
6;в эл. виде подали документы на включение в кадровый резерв;2021;0
6;количество лиц, не допущенных для участия в конкурсе;2021;1
6;количество лиц, не прошедших конкурсный отбор;2021;45
6;количество лиц, назначенных на вакантную должность по результатам конкурса;2021;0
