id_SubFed;category;year;amount
0;Общее количество конкурсов;2021;121
0;Конкурсы, проводимые повторно;2021;4
0;Несостоявшиеся конкурсы;2021;28
0;Конкурсы, результаты которых были обжалованы;2021;0
0;Общее количество конкурсов на включение в кадровый резерв;2021;158
1;Общее количество конкурсов;2021;35
1;Конкурсы, проводимые повторно;2021;4
1;Несостоявшиеся конкурсы;2021;10
1;Конкурсы, результаты которых были обжалованы;2021;0
1;Общее количество конкурсов на включение в кадровый резерв;2021;55
2;Общее количество конкурсов;2021;37
2;Конкурсы, проводимые повторно;2021;1
2;Несостоявшиеся конкурсы;2021;13
2;Конкурсы, результаты которых были обжалованы;2021;0
2;Общее количество конкурсов на включение в кадровый резерв;2021;33
3;Общее количество конкурсов;2021;147
3;Конкурсы, проводимые повторно;2021;13
3;Несостоявшиеся конкурсы;2021;25
3;Конкурсы, результаты которых были обжалованы;2021;0
3;Общее количество конкурсов на включение в кадровый резерв;2021;187
4;Общее количество конкурсов;2021;36
4;Конкурсы, проводимые повторно;2021;0
4;Несостоявшиеся конкурсы;2021;13
4;Конкурсы, результаты которых были обжалованы;2021;0
4;Общее количество конкурсов на включение в кадровый резерв;2021;14
5;Общее количество конкурсов;2021;100
5;Конкурсы, проводимые повторно;2021;13
5;Несостоявшиеся конкурсы;2021;37
5;Конкурсы, результаты которых были обжалованы;2021;0
5;Общее количество конкурсов на включение в кадровый резерв;2021;129
6;Общее количество конкурсов;2021;1
6;Конкурсы, проводимые повторно;2021;0
6;Несостоявшиеся конкурсы;2021;0
6;Конкурсы, результаты которых были обжалованы;2021;0
6;Общее количество конкурсов на включение в кадровый резерв;2021;20
7;Общее количество конкурсов;2021;35
7;Конкурсы, проводимые повторно;2021;0
7;Несостоявшиеся конкурсы;2021;10
7;Конкурсы, результаты которых были обжалованы;2021;0
7;Общее количество конкурсов на включение в кадровый резерв;2021;40
8;Общее количество конкурсов;2021;59
8;Конкурсы, проводимые повторно;2021;7
8;Несостоявшиеся конкурсы;2021;31
8;Конкурсы, результаты которых были обжалованы;2021;0
8;Общее количество конкурсов на включение в кадровый резерв;2021;59
9;Общее количество конкурсов;2021;132
9;Конкурсы, проводимые повторно;2021;4
9;Несостоявшиеся конкурсы;2021;32
9;Конкурсы, результаты которых были обжалованы;2021;0
9;Общее количество конкурсов на включение в кадровый резерв;2021;37
10;Общее количество конкурсов;2021;7
10;Конкурсы, проводимые повторно;2021;0
10;Несостоявшиеся конкурсы;2021;4
10;Конкурсы, результаты которых были обжалованы;2021;0
10;Общее количество конкурсов на включение в кадровый резерв;2021;87
11;Общее количество конкурсов;2021;8
11;Конкурсы, проводимые повторно;2021;0
11;Несостоявшиеся конкурсы;2021;1
11;Конкурсы, результаты которых были обжалованы;2021;0
11;Общее количество конкурсов на включение в кадровый резерв;2021;466
12;Общее количество конкурсов;2021;4
12;Конкурсы, проводимые повторно;2021;0
12;Несостоявшиеся конкурсы;2021;0
12;Конкурсы, результаты которых были обжалованы;2021;0
12;Общее количество конкурсов на включение в кадровый резерв;2021;35
13;Общее количество конкурсов;2021;68
13;Конкурсы, проводимые повторно;2021;10
13;Несостоявшиеся конкурсы;2021;14
13;Конкурсы, результаты которых были обжалованы;2021;0
13;Общее количество конкурсов на включение в кадровый резерв;2021;70
