id_SubFed;speciality;year;amount
0;менеджер ГМУ;2021;323
0;экономист, финансист;2021;1136
0;юрист;2021;1460
0;инженер;2021;616
0;иная специальность;2021;961
1;менеджер ГМУ;2021;94
1;экономист, финансист;2021;278
1;юрист;2021;327
1;инженер;2021;205
1;иная специальность;2021;211
2;менеджер ГМУ;2021;108
2;экономист, финансист;2021;350
2;юрист;2021;273
2;инженер;2021;117
2;иная специальность;2021;232
3;менеджер ГМУ;2021;247
3;экономист, финансист;2021;1845
3;юрист;2021;1120
3;инженер;2021;882
3;иная специальность;2021;1021
4;менеджер ГМУ;2021;175
4;экономист, финансист;2021;492
4;юрист;2021;393
4;инженер;2021;276
4;иная специальность;2021;417
5;менеджер ГМУ;2021;96
5;экономист, финансист;2021;399
5;юрист;2021;429
5;инженер;2021;104
5;иная специальность;2021;215
6;менеджер ГМУ;2021;204
6;экономист, финансист;2021;708
6;юрист;2021;811
6;инженер;2021;235
6;иная специальность;2021;1024
7;менеджер ГМУ;2021;139
7;экономист, финансист;2021;470
7;юрист;2021;591
7;инженер;2021;258
7;иная специальность;2021;350
8;менеджер ГМУ;2021;260
8;экономист, финансист;2021;750
8;юрист;2021;1140
8;инженер;2021;717
8;иная специальность;2021;894
9;менеджер ГМУ;2021;183
9;экономист, финансист;2021;496
9;юрист;2021;699
9;инженер;2021;221
9;иная специальность;2021;358
10;менеджер ГМУ;2021;90
10;экономист, финансист;2021;362
10;юрист;2021;394
10;инженер;2021;224
10;иная специальность;2021;392
11;менеджер ГМУ;2021;207
11;экономист, финансист;2021;1012
11;юрист;2021;1079
11;инженер;2021;571
11;иная специальность;2021;903
12;менеджер ГМУ;2021;192
12;экономист, финансист;2021;493
12;юрист;2021;697
12;инженер;2021;292
12;иная специальность;2021;647
13;менеджер ГМУ;2021;92
13;экономист, финансист;2021;389
13;юрист;2021;388
13;инженер;2021;123
13;иная специальность;2021;321
