id_SubFed;speciality;year;amount
0;менеджер ГМУ;2021;493
0;экономист, финансист;2021;2005
0;юрист;2021;1072
0;инженер;2021;655
0;иная специальность;2021;2179
1;менеджер ГМУ;2021;137
1;экономист, финансист;2021;471
1;юрист;2021;197
1;инженер;2021;148
1;иная специальность;2021;462
2;менеджер ГМУ;2021;101
2;экономист, финансист;2021;646
2;юрист;2021;250
2;инженер;2021;131
2;иная специальность;2021;534
3;менеджер ГМУ;2021;399
3;экономист, финансист;2021;1626
3;юрист;2021;1056
3;инженер;2021;1146
3;иная специальность;2021;1262
4;менеджер ГМУ;2021;340
4;экономист, финансист;2021;1004
4;юрист;2021;446
4;инженер;2021;227
4;иная специальность;2021;956
5;менеджер ГМУ;2021;172
5;экономист, финансист;2021;748
5;юрист;2021;375
5;инженер;2021;121
5;иная специальность;2021;637
6;менеджер ГМУ;2021;454
6;экономист, финансист;2021;1927
6;юрист;2021;1118
6;инженер;2021;444
6;иная специальность;2021;2068
7;менеджер ГМУ;2021;308
7;экономист, финансист;2021;1312
7;юрист;2021;564
7;инженер;2021;206
7;иная специальность;2021;929
8;менеджер ГМУ;2021;791
8;экономист, финансист;2021;2676
8;юрист;2021;1301
8;инженер;2021;831
8;иная специальность;2021;1762
9;менеджер ГМУ;2021;395
9;экономист, финансист;2021;1570
9;юрист;2021;846
9;инженер;2021;363
9;иная специальность;2021;1112
10;менеджер ГМУ;2021;177
10;экономист, финансист;2021;994
10;юрист;2021;400
10;инженер;2021;439
10;иная специальность;2021;944
11;менеджер ГМУ;2021;443
11;экономист, финансист;2021;1819
11;юрист;2021;1166
11;инженер;2021;909
11;иная специальность;2021;1331
12;менеджер ГМУ;2021;323
12;экономист, финансист;2021;1335
12;юрист;2021;837
12;инженер;2021;469
12;иная специальность;2021;1317
13;менеджер ГМУ;2021;107
13;экономист, финансист;2021;556
13;юрист;2021;394
13;инженер;2021;180
13;иная специальность;2021;481
