id_SubFed;educ_lvl;year;amount
0;бакалавриат;2021;470
0;специалитет;2021;3840
0;магистратура;2021;186
0;среднее профессиональное;2021;211
1;бакалавриат;2021;46
1;специалитет;2021;989
1;магистратура;2021;80
1;среднее профессиональное;2021;1
2;бакалавриат;2021;68
2;специалитет;2021;962
2;магистратура;2021;50
2;среднее профессиональное;2021;28
3;бакалавриат;2021;541
3;специалитет;2021;4436
3;магистратура;2021;138
3;среднее профессиональное;2021;173
4;бакалавриат;2021;192
4;специалитет;2021;1445
4;магистратура;2021;116
4;среднее профессиональное;2021;31
5;бакалавриат;2021;171
5;специалитет;2021;970
5;магистратура;2021;102
5;среднее профессиональное;2021;33
6;бакалавриат;2021;555
6;специалитет;2021;2287
6;магистратура;2021;140
6;среднее профессиональное;2021;113
7;бакалавриат;2021;171
7;специалитет;2021;1548
7;магистратура;2021;89
7;среднее профессиональное;2021;8
8;бакалавриат;2021;426
8;специалитет;2021;3155
8;магистратура;2021;180
8;среднее профессиональное;2021;44
9;бакалавриат;2021;201
9;специалитет;2021;1627
9;магистратура;2021;129
9;среднее профессиональное;2021;37
10;бакалавриат;2021;130
10;специалитет;2021;1266
10;магистратура;2021;66
10;среднее профессиональное;2021;11
11;бакалавриат;2021;299
11;специалитет;2021;3307
11;магистратура;2021;166
11;среднее профессиональное;2021;130
12;бакалавриат;2021;223
12;специалитет;2021;1911
12;магистратура;2021;187
12;среднее профессиональное;2021;10
13;бакалавриат;2021;120
13;специалитет;2021;1134
13;магистратура;2021;59
13;среднее профессиональное;2021;21
