id_SubFed;educ_lvl;year;amount
0;бакалавриат;2021;683
0;специалитет;2021;5567
0;магистратура;2021;154
0;среднее профессиональное;2021;1561
1;бакалавриат;2021;139
1;специалитет;2021;1223
1;магистратура;2021;53
1;среднее профессиональное;2021;173
2;бакалавриат;2021;116
2;специалитет;2021;1522
2;магистратура;2021;24
2;среднее профессиональное;2021;258
3;бакалавриат;2021;762
3;специалитет;2021;4640
3;магистратура;2021;87
3;среднее профессиональное;2021;494
4;бакалавриат;2021;279
4;специалитет;2021;2628
4;магистратура;2021;66
4;среднее профессиональное;2021;100
5;бакалавриат;2021;299
5;специалитет;2021;1695
5;магистратура;2021;59
5;среднее профессиональное;2021;257
6;бакалавриат;2021;1092
6;специалитет;2021;4703
6;магистратура;2021;216
6;среднее профессиональное;2021;797
7;бакалавриат;2021;463
7;специалитет;2021;2764
7;магистратура;2021;92
7;среднее профессиональное;2021;782
8;бакалавриат;2021;726
8;специалитет;2021;6445
8;магистратура;2021;190
8;среднее профессиональное;2021;268
9;бакалавриат;2021;479
9;специалитет;2021;3683
9;магистратура;2021;124
9;среднее профессиональное;2021;583
10;бакалавриат;2021;323
10;специалитет;2021;2505
10;магистратура;2021;126
10;среднее профессиональное;2021;263
11;бакалавриат;2021;566
11;специалитет;2021;4837
11;магистратура;2021;265
11;среднее профессиональное;2021;347
12;бакалавриат;2021;443
12;специалитет;2021;3716
12;магистратура;2021;122
12;среднее профессиональное;2021;765
13;бакалавриат;2021;198
13;специалитет;2021;1402
13;магистратура;2021;118
13;среднее профессиональное;2021;132
