id_SubFed;category;year;amount
0;до 1 года;2021;351
0;от 1 года до 5 лет;2021;932
0;от 5 до 10 лет;2021;1125
0;от 10 до 15 лет;2021;892
0;свыше 15 лет;2021;1407
1;до 1 года;2021;44
1;от 1 года до 5 лет;2021;123
1;от 5 до 10 лет;2021;186
1;от 10 до 15 лет;2021;234
1;свыше 15 лет;2021;529
2;до 1 года;2021;59
2;от 1 года до 5 лет;2021;125
2;от 5 до 10 лет;2021;260
2;от 10 до 15 лет;2021;235
2;свыше 15 лет;2021;429
3;до 1 года;2021;393
3;от 1 года до 5 лет;2021;950
3;от 5 до 10 лет;2021;953
3;от 10 до 15 лет;2021;842
3;свыше 15 лет;2021;2153
4;до 1 года;2021;120
4;от 1 года до 5 лет;2021;264
4;от 5 до 10 лет;2021;384
4;от 10 до 15 лет;2021;353
4;свыше 15 лет;2021;663
5;до 1 года;2021;143
5;от 1 года до 5 лет;2021;240
5;от 5 до 10 лет;2021;251
5;от 10 до 15 лет;2021;220
5;свыше 15 лет;2021;395
6;до 1 года;2021;206
6;от 1 года до 5 лет;2021;681
6;от 5 до 10 лет;2021;661
6;от 10 до 15 лет;2021;581
6;свыше 15 лет;2021;966
7;до 1 года;2021;89
7;от 1 года до 5 лет;2021;292
7;от 5 до 10 лет;2021;349
7;от 10 до 15 лет;2021;337
7;свыше 15 лет;2021;749
8;до 1 года;2021;223
8;от 1 года до 5 лет;2021;646
8;от 5 до 10 лет;2021;696
8;от 10 до 15 лет;2021;825
8;свыше 15 лет;2021;1415
9;до 1 года;2021;175
9;от 1 года до 5 лет;2021;315
9;от 5 до 10 лет;2021;369
9;от 10 до 15 лет;2021;352
9;свыше 15 лет;2021;783
10;до 1 года;2021;72
10;от 1 года до 5 лет;2021;230
10;от 5 до 10 лет;2021;269
10;от 10 до 15 лет;2021;349
10;свыше 15 лет;2021;553
11;до 1 года;2021;184
11;от 1 года до 5 лет;2021;525
11;от 5 до 10 лет;2021;637
11;от 10 до 15 лет;2021;766
11;свыше 15 лет;2021;1790
12;до 1 года;2021;153
12;от 1 года до 5 лет;2021;378
12;от 5 до 10 лет;2021;408
12;от 10 до 15 лет;2021;425
12;свыше 15 лет;2021;967
13;до 1 года;2021;65
13;от 1 года до 5 лет;2021;160
13;от 5 до 10 лет;2021;222
13;от 10 до 15 лет;2021;287
13;свыше 15 лет;2021;600
