id_SubFed;category;year;amount
0;до 1 года;2021;719
0;от 1 года до 5 лет;2021;1868
0;от 5 до 10 лет;2021;1788
0;от 10 до 15 лет;2021;1454
0;свыше 15 лет;2021;2136
1;до 1 года;2021;125
1;от 1 года до 5 лет;2021;325
1;от 5 до 10 лет;2021;341
1;от 10 до 15 лет;2021;291
1;свыше 15 лет;2021;506
2;до 1 года;2021;109
2;от 1 года до 5 лет;2021;287
2;от 5 до 10 лет;2021;440
2;от 10 до 15 лет;2021;418
2;свыше 15 лет;2021;666
3;до 1 года;2021;455
3;от 1 года до 5 лет;2021;1490
3;от 5 до 10 лет;2021;1212
3;от 10 до 15 лет;2021;948
3;свыше 15 лет;2021;1942
4;до 1 года;2021;156
4;от 1 года до 5 лет;2021;484
4;от 5 до 10 лет;2021;625
4;от 10 до 15 лет;2021;668
4;свыше 15 лет;2021;1140
5;до 1 года;2021;198
5;от 1 года до 5 лет;2021;572
5;от 5 до 10 лет;2021;520
5;от 10 до 15 лет;2021;379
5;свыше 15 лет;2021;641
6;до 1 года;2021;375
6;от 1 года до 5 лет;2021;1172
6;от 5 до 10 лет;2021;1519
6;от 10 до 15 лет;2021;1431
6;свыше 15 лет;2021;2311
7;до 1 года;2021;246
7;от 1 года до 5 лет;2021;584
7;от 5 до 10 лет;2021;893
7;от 10 до 15 лет;2021;725
7;свыше 15 лет;2021;1458
8;до 1 года;2021;515
8;от 1 года до 5 лет;2021;1352
8;от 5 до 10 лет;2021;1437
8;от 10 до 15 лет;2021;1416
8;свыше 15 лет;2021;2909
9;до 1 года;2021;330
9;от 1 года до 5 лет;2021;1022
9;от 5 до 10 лет;2021;1106
9;от 10 до 15 лет;2021;984
9;свыше 15 лет;2021;1427
10;до 1 года;2021;94
10;от 1 года до 5 лет;2021;442
10;от 5 до 10 лет;2021;659
10;от 10 до 15 лет;2021;725
10;свыше 15 лет;2021;1295
11;до 1 года;2021;294
11;от 1 года до 5 лет;2021;1117
11;от 5 до 10 лет;2021;1094
11;от 10 до 15 лет;2021;1219
11;свыше 15 лет;2021;2291
12;до 1 года;2021;330
12;от 1 года до 5 лет;2021;1019
12;от 5 до 10 лет;2021;1132
12;от 10 до 15 лет;2021;1069
12;свыше 15 лет;2021;1496
13;до 1 года;2021;135
13;от 1 года до 5 лет;2021;344
13;от 5 до 10 лет;2021;383
13;от 10 до 15 лет;2021;413
13;свыше 15 лет;2021;575
