id_SubFed;gender;year;amount
0;мужчины;2021;1977
0;женщины;2021;5988
1;мужчины;2021;271
1;женщины;2021;1317
2;мужчины;2021;314
2;женщины;2021;1606
3;мужчины;2021;1567
3;женщины;2021;4480
4;мужчины;2021;454
4;женщины;2021;2619
5;мужчины;2021;432
5;женщины;2021;1878
6;мужчины;2021;910
6;женщины;2021;5898
7;мужчины;2021;538
7;женщины;2021;3368
8;мужчины;2021;1540
8;женщины;2021;6089
9;мужчины;2021;1073
9;женщины;2021;3796
10;мужчины;2021;784
10;женщины;2021;2431
11;мужчины;2021;1292
11;женщины;2021;4723
12;мужчины;2021;936
12;женщины;2021;4110
13;мужчины;2021;461
13;женщины;2021;1389
