id_SubFed;category;year;amount
0;Количество государственных органов на отчетную дату;2021;43
0;Количество государственных органов на последнюю дату отчета предыдущего года;2021;43
1;Количество государственных органов на отчетную дату;2021;25
1;Количество государственных органов на последнюю дату отчета предыдущего года;2021;25
2;Количество государственных органов на отчетную дату;2021;23
2;Количество государственных органов на последнюю дату отчета предыдущего года;2021;24
3;Количество государственных органов на отчетную дату;2021;52
3;Количество государственных органов на последнюю дату отчета предыдущего года;2021;52
4;Количество государственных органов на отчетную дату;2021;29
4;Количество государственных органов на последнюю дату отчета предыдущего года;2021;29
5;Количество государственных органов на отчетную дату;2021;24
5;Количество государственных органов на последнюю дату отчета предыдущего года;2021;24
6;Количество государственных органов на отчетную дату;2021;38
6;Количество государственных органов на последнюю дату отчета предыдущего года;2021;38
7;Количество государственных органов на отчетную дату;2021;33
7;Количество государственных органов на последнюю дату отчета предыдущего года;2021;33
8;Количество государственных органов на отчетную дату;2021;45
8;Количество государственных органов на последнюю дату отчета предыдущего года;2021;46
9;Количество государственных органов на отчетную дату;2021;32
9;Количество государственных органов на последнюю дату отчета предыдущего года;2021;32
10;Количество государственных органов на отчетную дату;2021;32
10;Количество государственных органов на последнюю дату отчета предыдущего года;2021;32
11;Количество государственных органов на отчетную дату;2021;39
11;Количество государственных органов на последнюю дату отчета предыдущего года;2021;39
12;Количество государственных органов на отчетную дату;2021;40
12;Количество государственных органов на последнюю дату отчета предыдущего года;2021;40
13;Количество государственных органов на отчетную дату;2021;24
13;Количество государственных органов на последнюю дату отчета предыдущего года;2021;24
