id_SubFed;category;year;amount
0;впервые поступившие на гос. службу;2021;263
0;впервые поступившие на гос. службу, которым назначены наставники;2021;79
0;впервые назначенных на высшие и главные должности гос. службы;2021;22
0;впервые назначенных на высшие и главные должности гос. службы, которым назначены наставники;2021;0
0;иные случаи установления наставничества;2021;2
0;Назначенные наставники;2021;31
0;Назначенные наставники, которым произведена доплата;2021;0
0;Количество лиц, в отношении которых установленно наставничество;2021;81
1;впервые поступившие на гос. службу;2021;49
1;впервые поступившие на гос. службу, которым назначены наставники;2021;38
1;впервые назначенных на высшие и главные должности гос. службы;2021;9
1;впервые назначенных на высшие и главные должности гос. службы, которым назначены наставники;2021;2
1;иные случаи установления наставничества;2021;0
1;Назначенные наставники;2021;38
1;Назначенные наставники, которым произведена доплата;2021;10
1;Количество лиц, в отношении которых установленно наставничество;2021;40
2;впервые поступившие на гос. службу;2021;35
2;впервые поступившие на гос. службу, которым назначены наставники;2021;20
2;впервые назначенных на высшие и главные должности гос. службы;2021;4
2;впервые назначенных на высшие и главные должности гос. службы, которым назначены наставники;2021;1
2;иные случаи установления наставничества;2021;1
2;Назначенные наставники;2021;22
2;Назначенные наставники, которым произведена доплата;2021;4
2;Количество лиц, в отношении которых установленно наставничество;2021;22
3;впервые поступившие на гос. службу;2021;293
3;впервые поступившие на гос. службу, которым назначены наставники;2021;74
3;впервые назначенных на высшие и главные должности гос. службы;2021;42
3;впервые назначенных на высшие и главные должности гос. службы, которым назначены наставники;2021;11
3;иные случаи установления наставничества;2021;15
3;Назначенные наставники;2021;63
3;Назначенные наставники, которым произведена доплата;2021;5
3;Количество лиц, в отношении которых установленно наставничество;2021;100
4;впервые поступившие на гос. службу;2021;42
4;впервые поступившие на гос. службу, которым назначены наставники;2021;30
4;впервые назначенных на высшие и главные должности гос. службы;2021;7
4;впервые назначенных на высшие и главные должности гос. службы, которым назначены наставники;2021;0
4;иные случаи установления наставничества;2021;0
4;Назначенные наставники;2021;25
4;Назначенные наставники, которым произведена доплата;2021;0
4;Количество лиц, в отношении которых установленно наставничество;2021;30
5;впервые поступившие на гос. службу;2021;91
5;впервые поступившие на гос. службу, которым назначены наставники;2021;57
5;впервые назначенных на высшие и главные должности гос. службы;2021;17
5;впервые назначенных на высшие и главные должности гос. службы, которым назначены наставники;2021;1
5;иные случаи установления наставничества;2021;33
5;Назначенные наставники;2021;80
5;Назначенные наставники, которым произведена доплата;2021;6
5;Количество лиц, в отношении которых установленно наставничество;2021;91
6;впервые поступившие на гос. службу;2021;157
6;впервые поступившие на гос. службу, которым назначены наставники;2021;92
6;впервые назначенных на высшие и главные должности гос. службы;2021;19
6;впервые назначенных на высшие и главные должности гос. службы, которым назначены наставники;2021;2
6;иные случаи установления наставничества;2021;12
6;Назначенные наставники;2021;106
6;Назначенные наставники, которым произведена доплата;2021;0
6;Количество лиц, в отношении которых установленно наставничество;2021;106
7;впервые поступившие на гос. службу;2021;51
7;впервые поступившие на гос. службу, которым назначены наставники;2021;51
7;впервые назначенных на высшие и главные должности гос. службы;2021;5
7;впервые назначенных на высшие и главные должности гос. службы, которым назначены наставники;2021;5
7;иные случаи установления наставничества;2021;0
7;Назначенные наставники;2021;48
7;Назначенные наставники, которым произведена доплата;2021;2
7;Количество лиц, в отношении которых установленно наставничество;2021;56
8;впервые поступившие на гос. службу;2021;72
8;впервые поступившие на гос. службу, которым назначены наставники;2021;56
8;впервые назначенных на высшие и главные должности гос. службы;2021;36
8;впервые назначенных на высшие и главные должности гос. службы, которым назначены наставники;2021;15
8;иные случаи установления наставничества;2021;0
8;Назначенные наставники;2021;69
8;Назначенные наставники, которым произведена доплата;2021;0
8;Количество лиц, в отношении которых установленно наставничество;2021;71
9;впервые поступившие на гос. службу;2021;97
9;впервые поступившие на гос. службу, которым назначены наставники;2021;97
9;впервые назначенных на высшие и главные должности гос. службы;2021;12
9;впервые назначенных на высшие и главные должности гос. службы, которым назначены наставники;2021;12
9;иные случаи установления наставничества;2021;0
9;Назначенные наставники;2021;109
9;Назначенные наставники, которым произведена доплата;2021;0
9;Количество лиц, в отношении которых установленно наставничество;2021;109
10;впервые поступившие на гос. службу;2021;42
10;впервые поступившие на гос. службу, которым назначены наставники;2021;22
10;впервые назначенных на высшие и главные должности гос. службы;2021;22
10;впервые назначенных на высшие и главные должности гос. службы, которым назначены наставники;2021;2
10;иные случаи установления наставничества;2021;4
10;Назначенные наставники;2021;24
10;Назначенные наставники, которым произведена доплата;2021;1
10;Количество лиц, в отношении которых установленно наставничество;2021;28
11;впервые поступившие на гос. службу;2021;92
11;впервые поступившие на гос. службу, которым назначены наставники;2021;71
11;впервые назначенных на высшие и главные должности гос. службы;2021;33
11;впервые назначенных на высшие и главные должности гос. службы, которым назначены наставники;2021;4
11;иные случаи установления наставничества;2021;18
11;Назначенные наставники;2021;93
11;Назначенные наставники, которым произведена доплата;2021;9
11;Количество лиц, в отношении которых установленно наставничество;2021;93
12;впервые поступившие на гос. службу;2021;92
12;впервые поступившие на гос. службу, которым назначены наставники;2021;44
12;впервые назначенных на высшие и главные должности гос. службы;2021;22
12;впервые назначенных на высшие и главные должности гос. службы, которым назначены наставники;2021;3
12;иные случаи установления наставничества;2021;18
12;Назначенные наставники;2021;65
12;Назначенные наставники, которым произведена доплата;2021;0
12;Количество лиц, в отношении которых установленно наставничество;2021;65
13;впервые поступившие на гос. службу;2021;81
13;впервые поступившие на гос. службу, которым назначены наставники;2021;37
13;впервые назначенных на высшие и главные должности гос. службы;2021;36
13;впервые назначенных на высшие и главные должности гос. службы, которым назначены наставники;2021;19
13;иные случаи установления наставничества;2021;38
13;Назначенные наставники;2021;94
13;Назначенные наставники, которым произведена доплата;2021;18
13;Количество лиц, в отношении которых установленно наставничество;2021;94
