id_SubFed;categoty;year;amount
0;решения представителя нанимателя;2021;1927
0;по результатам аттестации;2021;3
0;назначения на иную должность при сокращении должностей или упразднения государственного органа;2021;0
0;"назначения в порядке должностного роста впервые на должность категории ""руководители"" или ""специалисты""";2021;11
0;поступления гражданина на службу впервые;2021;89
1;решения представителя нанимателя;2021;506
1;по результатам аттестации;2021;0
1;назначения на иную должность при сокращении должностей или упразднения государственного органа;2021;0
1;"назначения в порядке должностного роста впервые на должность категории ""руководители"" или ""специалисты""";2021;1
1;поступления гражданина на службу впервые;2021;26
2;решения представителя нанимателя;2021;330
2;по результатам аттестации;2021;0
2;назначения на иную должность при сокращении должностей или упразднения государственного органа;2021;0
2;"назначения в порядке должностного роста впервые на должность категории ""руководители"" или ""специалисты""";2021;0
2;поступления гражданина на службу впервые;2021;24
3;решения представителя нанимателя;2021;1233
3;по результатам аттестации;2021;4
3;назначения на иную должность при сокращении должностей или упразднения государственного органа;2021;0
3;"назначения в порядке должностного роста впервые на должность категории ""руководители"" или ""специалисты""";2021;6
3;поступления гражданина на службу впервые;2021;78
4;решения представителя нанимателя;2021;370
4;по результатам аттестации;2021;0
4;назначения на иную должность при сокращении должностей или упразднения государственного органа;2021;0
4;"назначения в порядке должностного роста впервые на должность категории ""руководители"" или ""специалисты""";2021;0
4;поступления гражданина на службу впервые;2021;81
5;решения представителя нанимателя;2021;150
5;по результатам аттестации;2021;0
5;назначения на иную должность при сокращении должностей или упразднения государственного органа;2021;0
5;"назначения в порядке должностного роста впервые на должность категории ""руководители"" или ""специалисты""";2021;0
5;поступления гражданина на службу впервые;2021;87
6;решения представителя нанимателя;2021;592
6;по результатам аттестации;2021;0
6;назначения на иную должность при сокращении должностей или упразднения государственного органа;2021;0
6;"назначения в порядке должностного роста впервые на должность категории ""руководители"" или ""специалисты""";2021;0
6;поступления гражданина на службу впервые;2021;116
7;решения представителя нанимателя;2021;175
7;по результатам аттестации;2021;42
7;назначения на иную должность при сокращении должностей или упразднения государственного органа;2021;4
7;"назначения в порядке должностного роста впервые на должность категории ""руководители"" или ""специалисты""";2021;16
7;поступления гражданина на службу впервые;2021;48
8;решения представителя нанимателя;2021;943
8;по результатам аттестации;2021;0
8;назначения на иную должность при сокращении должностей или упразднения государственного органа;2021;0
8;"назначения в порядке должностного роста впервые на должность категории ""руководители"" или ""специалисты""";2021;0
8;поступления гражданина на службу впервые;2021;2
9;решения представителя нанимателя;2021;1138
9;по результатам аттестации;2021;0
9;назначения на иную должность при сокращении должностей или упразднения государственного органа;2021;0
9;"назначения в порядке должностного роста впервые на должность категории ""руководители"" или ""специалисты""";2021;0
9;поступления гражданина на службу впервые;2021;0
10;решения представителя нанимателя;2021;529
10;по результатам аттестации;2021;1
10;назначения на иную должность при сокращении должностей или упразднения государственного органа;2021;0
10;"назначения в порядке должностного роста впервые на должность категории ""руководители"" или ""специалисты""";2021;0
10;поступления гражданина на службу впервые;2021;74
11;решения представителя нанимателя;2021;372
11;по результатам аттестации;2021;2
11;назначения на иную должность при сокращении должностей или упразднения государственного органа;2021;0
11;"назначения в порядке должностного роста впервые на должность категории ""руководители"" или ""специалисты""";2021;2
11;поступления гражданина на службу впервые;2021;2
12;решения представителя нанимателя;2021;126
12;по результатам аттестации;2021;0
12;назначения на иную должность при сокращении должностей или упразднения государственного органа;2021;0
12;"назначения в порядке должностного роста впервые на должность категории ""руководители"" или ""специалисты""";2021;0
12;поступления гражданина на службу впервые;2021;0
13;решения представителя нанимателя;2021;1236
13;по результатам аттестации;2021;0
13;назначения на иную должность при сокращении должностей или упразднения государственного органа;2021;0
13;"назначения в порядке должностного роста впервые на должность категории ""руководители"" или ""специалисты""";2021;0
13;поступления гражданина на службу впервые;2021;45
