id_SubFed;appointmentReason;period;year;amount
0;присвоен классный чин, без сдачи квалификационного экзамена;АППГ;2021;601
0;присвоен классный чин, без сдачи квалификационного экзамена;с начала отчетного года;2021;585
0;присвоен классный чин, по результатам квалификационного экзамена;АППГ;2021;56
0;присвоен классный чин, по результатам квалификационного экзамена;с начала отчетного года;2021;121
0;ранее срока, установленного для прохождения службы в предыдущем классном чине;АППГ;2021;0
0;ранее срока, установленного для прохождения службы в предыдущем классном чине;с начала отчетного года;2021;9
1;присвоен классный чин, без сдачи квалификационного экзамена;АППГ;2021;173
1;присвоен классный чин, без сдачи квалификационного экзамена;с начала отчетного года;2021;159
1;присвоен классный чин, по результатам квалификационного экзамена;АППГ;2021;4
1;присвоен классный чин, по результатам квалификационного экзамена;с начала отчетного года;2021;18
1;ранее срока, установленного для прохождения службы в предыдущем классном чине;АППГ;2021;0
1;ранее срока, установленного для прохождения службы в предыдущем классном чине;с начала отчетного года;2021;1
2;присвоен классный чин, без сдачи квалификационного экзамена;АППГ;2021;182
2;присвоен классный чин, без сдачи квалификационного экзамена;с начала отчетного года;2021;171
2;присвоен классный чин, по результатам квалификационного экзамена;АППГ;2021;26
2;присвоен классный чин, по результатам квалификационного экзамена;с начала отчетного года;2021;29
2;ранее срока, установленного для прохождения службы в предыдущем классном чине;АППГ;2021;0
2;ранее срока, установленного для прохождения службы в предыдущем классном чине;с начала отчетного года;2021;0
3;присвоен классный чин, без сдачи квалификационного экзамена;АППГ;2021;682
3;присвоен классный чин, без сдачи квалификационного экзамена;с начала отчетного года;2021;591
3;присвоен классный чин, по результатам квалификационного экзамена;АППГ;2021;24
3;присвоен классный чин, по результатам квалификационного экзамена;с начала отчетного года;2021;52
3;ранее срока, установленного для прохождения службы в предыдущем классном чине;АППГ;2021;5
3;ранее срока, установленного для прохождения службы в предыдущем классном чине;с начала отчетного года;2021;2
4;присвоен классный чин, без сдачи квалификационного экзамена;АППГ;2021;158
4;присвоен классный чин, без сдачи квалификационного экзамена;с начала отчетного года;2021;259
4;присвоен классный чин, по результатам квалификационного экзамена;АППГ;2021;19
4;присвоен классный чин, по результатам квалификационного экзамена;с начала отчетного года;2021;22
4;ранее срока, установленного для прохождения службы в предыдущем классном чине;АППГ;2021;0
4;ранее срока, установленного для прохождения службы в предыдущем классном чине;с начала отчетного года;2021;0
5;присвоен классный чин, без сдачи квалификационного экзамена;АППГ;2021;165
5;присвоен классный чин, без сдачи квалификационного экзамена;с начала отчетного года;2021;130
5;присвоен классный чин, по результатам квалификационного экзамена;АППГ;2021;36
5;присвоен классный чин, по результатам квалификационного экзамена;с начала отчетного года;2021;22
5;ранее срока, установленного для прохождения службы в предыдущем классном чине;АППГ;2021;0
5;ранее срока, установленного для прохождения службы в предыдущем классном чине;с начала отчетного года;2021;0
6;присвоен классный чин, без сдачи квалификационного экзамена;АППГ;2021;564
6;присвоен классный чин, без сдачи квалификационного экзамена;с начала отчетного года;2021;486
6;присвоен классный чин, по результатам квалификационного экзамена;АППГ;2021;55
6;присвоен классный чин, по результатам квалификационного экзамена;с начала отчетного года;2021;43
6;ранее срока, установленного для прохождения службы в предыдущем классном чине;АППГ;2021;1
6;ранее срока, установленного для прохождения службы в предыдущем классном чине;с начала отчетного года;2021;0
7;присвоен классный чин, без сдачи квалификационного экзамена;АППГ;2021;171
