id_SubFed;cause;year;amount
0;по результатам конкурса на включение в кадровый резерв;2021;1169
0;по результатам конкурса на замещение вакантной должности;2021;520
0;по результатам аттестации;2021;216
0;в связи с сокращением должностей;2021;50
0;по основаниям, предусмотренным ч.1 ст. 39 Федерального закона 79-ФЗ;2021;0
1;по результатам конкурса на включение в кадровый резерв;2021;229
1;по результатам конкурса на замещение вакантной должности;2021;189
1;по результатам аттестации;2021;148
1;в связи с сокращением должностей;2021;3
1;по основаниям, предусмотренным ч.1 ст. 39 Федерального закона 79-ФЗ;2021;2
2;по результатам конкурса на включение в кадровый резерв;2021;215
2;по результатам конкурса на замещение вакантной должности;2021;81
2;по результатам аттестации;2021;32
2;в связи с сокращением должностей;2021;0
2;по основаниям, предусмотренным ч.1 ст. 39 Федерального закона 79-ФЗ;2021;0
3;по результатам конкурса на включение в кадровый резерв;2021;811
3;по результатам конкурса на замещение вакантной должности;2021;296
3;по результатам аттестации;2021;1274
3;в связи с сокращением должностей;2021;2
3;по основаниям, предусмотренным ч.1 ст. 39 Федерального закона 79-ФЗ;2021;4
4;по результатам конкурса на включение в кадровый резерв;2021;142
4;по результатам конкурса на замещение вакантной должности;2021;118
4;по результатам аттестации;2021;178
4;в связи с сокращением должностей;2021;31
4;по основаниям, предусмотренным ч.1 ст. 39 Федерального закона 79-ФЗ;2021;0
5;по результатам конкурса на включение в кадровый резерв;2021;520
5;по результатам конкурса на замещение вакантной должности;2021;134
5;по результатам аттестации;2021;17
5;в связи с сокращением должностей;2021;7
5;по основаниям, предусмотренным ч.1 ст. 39 Федерального закона 79-ФЗ;2021;0
6;по результатам конкурса на включение в кадровый резерв;2021;3332
6;по результатам конкурса на замещение вакантной должности;2021;2
6;по результатам аттестации;2021;377
6;в связи с сокращением должностей;2021;0
6;по основаниям, предусмотренным ч.1 ст. 39 Федерального закона 79-ФЗ;2021;0
7;по результатам конкурса на включение в кадровый резерв;2021;711
7;по результатам конкурса на замещение вакантной должности;2021;223
7;по результатам аттестации;2021;255
7;в связи с сокращением должностей;2021;3
7;по основаниям, предусмотренным ч.1 ст. 39 Федерального закона 79-ФЗ;2021;0
8;по результатам конкурса на включение в кадровый резерв;2021;1806
8;по результатам конкурса на замещение вакантной должности;2021;440
8;по результатам аттестации;2021;723
8;в связи с сокращением должностей;2021;62
8;по основаниям, предусмотренным ч.1 ст. 39 Федерального закона 79-ФЗ;2021;1
9;по результатам конкурса на включение в кадровый резерв;2021;233
9;по результатам конкурса на замещение вакантной должности;2021;312
9;по результатам аттестации;2021;130
9;в связи с сокращением должностей;2021;11
9;по основаниям, предусмотренным ч.1 ст. 39 Федерального закона 79-ФЗ;2021;1
10;по результатам конкурса на включение в кадровый резерв;2021;120
10;по результатам конкурса на замещение вакантной должности;2021;9
10;по результатам аттестации;2021;108
10;в связи с сокращением должностей;2021;0
10;по основаниям, предусмотренным ч.1 ст. 39 Федерального закона 79-ФЗ;2021;0
11;по результатам конкурса на включение в кадровый резерв;2021;2510
11;по результатам конкурса на замещение вакантной должности;2021;35
11;по результатам аттестации;2021;193
11;в связи с сокращением должностей;2021;3
11;по основаниям, предусмотренным ч.1 ст. 39 Федерального закона 79-ФЗ;2021;0
12;по результатам конкурса на включение в кадровый резерв;2021;472
12;по результатам конкурса на замещение вакантной должности;2021;0
12;по результатам аттестации;2021;50
12;в связи с сокращением должностей;2021;6
12;по основаниям, предусмотренным ч.1 ст. 39 Федерального закона 79-ФЗ;2021;1
13;по результатам конкурса на включение в кадровый резерв;2021;209
13;по результатам конкурса на замещение вакантной должности;2021;51
13;по результатам аттестации;2021;267
13;в связи с сокращением должностей;2021;0
13;по основаниям, предусмотренным ч.1 ст. 39 Федерального закона 79-ФЗ;2021;0
