id_SubFed;category;year;amount
0;Количество государственных органов, сформировавших резерв;2021;40
0;граждан;2021;676
0;государственных служащих;2021;1279
1;Количество государственных органов, сформировавших резерв;2021;24
1;граждан;2021;200
1;государственных служащих;2021;371
2;Количество государственных органов, сформировавших резерв;2021;22
2;граждан;2021;162
2;государственных служащих;2021;166
3;Количество государственных органов, сформировавших резерв;2021;40
3;граждан;2021;871
3;государственных служащих;2021;1516
4;Количество государственных органов, сформировавших резерв;2021;28
4;граждан;2021;127
4;государственных служащих;2021;342
5;Количество государственных органов, сформировавших резерв;2021;24
5;граждан;2021;288
5;государственных служащих;2021;390
6;Количество государственных органов, сформировавших резерв;2021;33
6;граждан;2021;1545
6;государственных служащих;2021;2166
7;Количество государственных органов, сформировавших резерв;2021;33
7;граждан;2021;370
7;государственных служащих;2021;822
8;Количество государственных органов, сформировавших резерв;2021;43
8;граждан;2021;864
8;государственных служащих;2021;2168
9;Количество государственных органов, сформировавших резерв;2021;32
9;граждан;2021;329
9;государственных служащих;2021;358
10;Количество государственных органов, сформировавших резерв;2021;22
10;граждан;2021;58
10;государственных служащих;2021;179
11;Количество государственных органов, сформировавших резерв;2021;35
11;граждан;2021;968
11;государственных служащих;2021;1773
12;Количество государственных органов, сформировавших резерв;2021;28
12;граждан;2021;180
12;государственных служащих;2021;349
13;Количество государственных органов, сформировавших резерв;2021;24
13;граждан;2021;211
13;государственных служащих;2021;316
