id_SubFed;category;year;amount
0;В возрасте до 30 лет;2021;239
0;С установлением испытательного срока;2021;522
0;Количество лиц, назначенных на должности по результатам конкурса;2021;75
0;Количество лиц, назначенных на должности в порядке должностного роста;2021;91
0;Без конкурса, по срочному служебному контракту;2021;380
0;Без конкурса, исполнение обязанностей по которым связано с государственной тайной;2021;57
0;Без конкурса, из кадрового резерва;2021;204
0;Без конкурса, по иным основаниям;2021;57
1;В возрасте до 30 лет;2021;21
1;С установлением испытательного срока;2021;79
1;Количество лиц, назначенных на должности по результатам конкурса;2021;20
1;Количество лиц, назначенных на должности в порядке должностного роста;2021;23
1;Без конкурса, по срочному служебному контракту;2021;28
1;Без конкурса, исполнение обязанностей по которым связано с государственной тайной;2021;8
1;Без конкурса, из кадрового резерва;2021;70
1;Без конкурса, по иным основаниям;2021;12
2;В возрасте до 30 лет;2021;31
2;С установлением испытательного срока;2021;54
2;Количество лиц, назначенных на должности по результатам конкурса;2021;23
2;Количество лиц, назначенных на должности в порядке должностного роста;2021;17
2;Без конкурса, по срочному служебному контракту;2021;25
2;Без конкурса, исполнение обязанностей по которым связано с государственной тайной;2021;5
2;Без конкурса, из кадрового резерва;2021;56
2;Без конкурса, по иным основаниям;2021;5
3;В возрасте до 30 лет;2021;313
3;С установлением испытательного срока;2021;510
3;Количество лиц, назначенных на должности по результатам конкурса;2021;82
3;Количество лиц, назначенных на должности в порядке должностного роста;2021;110
3;Без конкурса, по срочному служебному контракту;2021;221
3;Без конкурса, исполнение обязанностей по которым связано с государственной тайной;2021;42
3;Без конкурса, из кадрового резерва;2021;237
3;Без конкурса, по иным основаниям;2021;396
4;В возрасте до 30 лет;2021;63
4;С установлением испытательного срока;2021;108
4;Количество лиц, назначенных на должности по результатам конкурса;2021;21
4;Количество лиц, назначенных на должности в порядке должностного роста;2021;32
4;Без конкурса, по срочному служебному контракту;2021;84
4;Без конкурса, исполнение обязанностей по которым связано с государственной тайной;2021;3
4;Без конкурса, из кадрового резерва;2021;78
4;Без конкурса, по иным основаниям;2021;37
5;В возрасте до 30 лет;2021;80
5;С установлением испытательного срока;2021;180
5;Количество лиц, назначенных на должности по результатам конкурса;2021;49
5;Количество лиц, назначенных на должности в порядке должностного роста;2021;40
5;Без конкурса, по срочному служебному контракту;2021;81
5;Без конкурса, исполнение обязанностей по которым связано с государственной тайной;2021;24
5;Без конкурса, из кадрового резерва;2021;107
5;Без конкурса, по иным основаниям;2021;17
6;В возрасте до 30 лет;2021;164
6;С установлением испытательного срока;2021;306
6;Количество лиц, назначенных на должности по результатам конкурса;2021;0
6;Количество лиц, назначенных на должности в порядке должностного роста;2021;56
6;Без конкурса, по срочному служебному контракту;2021;196
6;Без конкурса, исполнение обязанностей по которым связано с государственной тайной;2021;7
6;Без конкурса, из кадрового резерва;2021;413
6;Без конкурса, по иным основаниям;2021;12
7;В возрасте до 30 лет;2021;52
7;С установлением испытательного срока;2021;84
