id_SubFed;categoty;period;year;amount
0;Количество граждан, заключивших договор о целевом обучении;АППГ;2021;0
0;Количество граждан, заключивших договор о целевом обучении;с начала отчетного года;2021;0
0;Количество граждан, получивших профессиональное образование в соответствии с договором о целевом обучении;АППГ;2021;0
0;Количество граждан, получивших профессиональное образование в соответствии с договором о целевом обучении;с начала отчетного года;2021;0
0;Количество граждан, поступивших на государственную службу в соответствии с договором о целевом обучении;АППГ;2021;0
0;Количество граждан, поступивших на государственную службу в соответствии с договором о целевом обучении;с начала отчетного года;2021;0
1;Количество граждан, заключивших договор о целевом обучении;АППГ;2021;0
1;Количество граждан, заключивших договор о целевом обучении;с начала отчетного года;2021;0
1;Количество граждан, получивших профессиональное образование в соответствии с договором о целевом обучении;АППГ;2021;0
1;Количество граждан, получивших профессиональное образование в соответствии с договором о целевом обучении;с начала отчетного года;2021;0
1;Количество граждан, поступивших на государственную службу в соответствии с договором о целевом обучении;АППГ;2021;0
1;Количество граждан, поступивших на государственную службу в соответствии с договором о целевом обучении;с начала отчетного года;2021;0
2;Количество граждан, заключивших договор о целевом обучении;АППГ;2021;0
2;Количество граждан, заключивших договор о целевом обучении;с начала отчетного года;2021;0
2;Количество граждан, получивших профессиональное образование в соответствии с договором о целевом обучении;АППГ;2021;0
2;Количество граждан, получивших профессиональное образование в соответствии с договором о целевом обучении;с начала отчетного года;2021;0
2;Количество граждан, поступивших на государственную службу в соответствии с договором о целевом обучении;АППГ;2021;0
2;Количество граждан, поступивших на государственную службу в соответствии с договором о целевом обучении;с начала отчетного года;2021;0
3;Количество граждан, заключивших договор о целевом обучении;АППГ;2021;1
3;Количество граждан, заключивших договор о целевом обучении;с начала отчетного года;2021;0
3;Количество граждан, получивших профессиональное образование в соответствии с договором о целевом обучении;АППГ;2021;0
3;Количество граждан, получивших профессиональное образование в соответствии с договором о целевом обучении;с начала отчетного года;2021;0
3;Количество граждан, поступивших на государственную службу в соответствии с договором о целевом обучении;АППГ;2021;0
3;Количество граждан, поступивших на государственную службу в соответствии с договором о целевом обучении;с начала отчетного года;2021;0
4;Количество граждан, заключивших договор о целевом обучении;АППГ;2021;0
4;Количество граждан, заключивших договор о целевом обучении;с начала отчетного года;2021;0
4;Количество граждан, получивших профессиональное образование в соответствии с договором о целевом обучении;АППГ;2021;0
4;Количество граждан, получивших профессиональное образование в соответствии с договором о целевом обучении;с начала отчетного года;2021;0
4;Количество граждан, поступивших на государственную службу в соответствии с договором о целевом обучении;АППГ;2021;0
4;Количество граждан, поступивших на государственную службу в соответствии с договором о целевом обучении;с начала отчетного года;2021;0
5;Количество граждан, заключивших договор о целевом обучении;АППГ;2021;0
5;Количество граждан, заключивших договор о целевом обучении;с начала отчетного года;2021;0
5;Количество граждан, получивших профессиональное образование в соответствии с договором о целевом обучении;АППГ;2021;0
5;Количество граждан, получивших профессиональное образование в соответствии с договором о целевом обучении;с начала отчетного года;2021;0
5;Количество граждан, поступивших на государственную службу в соответствии с договором о целевом обучении;АППГ;2021;0
5;Количество граждан, поступивших на государственную службу в соответствии с договором о целевом обучении;с начала отчетного года;2021;0
6;Количество граждан, заключивших договор о целевом обучении;АППГ;2021;0
6;Количество граждан, заключивших договор о целевом обучении;с начала отчетного года;2021;0
6;Количество граждан, получивших профессиональное образование в соответствии с договором о целевом обучении;АППГ;2021;0
6;Количество граждан, получивших профессиональное образование в соответствии с договором о целевом обучении;с начала отчетного года;2021;0
6;Количество граждан, поступивших на государственную службу в соответствии с договором о целевом обучении;АППГ;2021;0
6;Количество граждан, поступивших на государственную службу в соответствии с договором о целевом обучении;с начала отчетного года;2021;0
7;Количество граждан, заключивших договор о целевом обучении;АППГ;2021;0
7;Количество граждан, заключивших договор о целевом обучении;с начала отчетного года;2021;3
7;Количество граждан, получивших профессиональное образование в соответствии с договором о целевом обучении;АППГ;2021;0
7;Количество граждан, получивших профессиональное образование в соответствии с договором о целевом обучении;с начала отчетного года;2021;0
7;Количество граждан, поступивших на государственную службу в соответствии с договором о целевом обучении;АППГ;2021;0
7;Количество граждан, поступивших на государственную службу в соответствии с договором о целевом обучении;с начала отчетного года;2021;0
8;Количество граждан, заключивших договор о целевом обучении;АППГ;2021;0
8;Количество граждан, заключивших договор о целевом обучении;с начала отчетного года;2021;0
8;Количество граждан, получивших профессиональное образование в соответствии с договором о целевом обучении;АППГ;2021;0
8;Количество граждан, получивших профессиональное образование в соответствии с договором о целевом обучении;с начала отчетного года;2021;0
